Npc Name,Quest Text,Quest required item 1,Quest required item 2,Quest required item 3,Final Quest reward item
,,,,,
Deer,"Hey uhm I dont have anything for you right now, sorry!",,,,
,Have you been able to find those items yet? Its ok if not!,,,,
,"Hey traveller nice to meet you, my names Bagel! How are you finding it here?",,,,
,Hihi im sorry to ask but could you get me some food? Ive ran out ^w^,,,,
,Needed Items,melon*1,,,melon*1
,Also could you get me some flowers? Gotta make my home pretty!,,,,
,Needed Items,magic_flower*9,,,wood*16
,Thanks for your help!,,,,
,Feel free to visit again ^~^,,,,
,"I need some items for a chiller I'm making, could you help me get them? Thanks!",,,,
,Needed Items,melon*1,frost_air*1,,stone*16
,Wonderful thank you so much for all your help!,,,,
,,,,,
Hedgehog,Sorry I can't think of anything for you to do right now!,,,,
,"Hey there, any luck gathering those items I mentioned earlier?",,,,
,"Hey traveler, how's your journey been so far?",,,,
,Do you think you could get me some rocks? I need some new seats.,,,,
,Needed Items,stone*5,,,magic_flower*1
,Could you get me some sugar and honey? I'm baking a cake,,,,
,Needed Items,honey*2,sugar*1,,
,Do you think you could help me get some frost air? It's chilly out here!,,,,
,Needed Items,frost_air*3,,,wood*10
,Thanks a bunch!,,,,
,Come by whenever you want; I always need the help!,,,,
,"Oh, also I could really do with some frost air, do you think you could help?",,,,
,Needed Items,frost_air*3,,,wood*10
,Excellent! Thanks traveller <3,,,,
,,,,,
Fox,Hey there! Welcome to Elysium!,,,,
,Have you managed to collect those items I mentioned earlier?,,,,
,"Greetings, wanderer! Seen any interesting sights?",,,,
,I see you're new round here? I'll be your guide!,,,,
,Everything in this world is harvestable from trees to flowers and you can use them in quests or potions,,,,
,"You get items such as sticks from bushes, and coal from rocks! (The ones with the little black bits on them)",,,,
,Each NPC such as myself has quests! You can complete these for rewards,,,,
,Around the world you can also find crates like the little chest to my right,,,,
,These contain random items you may need and respawn after a short while,,,,
,Also theres your shop behind me! Here you can brew and sell potions,,,,
,"Theres also a cart next to your house under the little roof, this serves as a place to store your things",,,,
,"Tab opens and closes your inventory, and E is used to interact with things. Oh and you can hold shift to sprint!",,,,
,And here since you're new I'll give you your first quest,,,,
,Do you think you could brew me a warmth potion? The crafting table in your house will tell you how to make it!,,,,
,Needed Items,warmth_potion*1,,,carpet*1
,Thank you so much! Here as a gift i'll give you your first piece of furniture,,,,
,If you put it in the cabinet in your house you can use it as decoration!,,,,
,Would you mind gathering some feathers for me? I'm working on a new den. ^^,,,,
,Needed Items,feather*9,,,wood*10
,I'm feeling peckish. How about some boiled melon?,,,,
,Needed Items,boiled_melon*3,water*3,,syrup*2
,You're a lifesaver!,,,,
,Feel free to drop by for a chat anytime!,,,,
,"Oh, and if it's not too much trouble, I could use some boiled water.",,,,
,Needed Items,boiled_water*3,,,heated_coal*2
,Great! Thanks for everything!,,,,
,,,,,
Arctic Fox,Hello there! Enjoying the chilly weather?,,,,
,Have you managed to gather those items for me?,,,,
,"Greetings, traveler! How's the cold treating you?",,,,
,Could you gather some ice for me? I need it to keep my fur cool.,,,,
,Needed Items,ice*9,,,wood*10
,I'm craving something sweet. How about some syrup?,,,,
,Needed Items,syrup*1,fine_sugar*2,,heated_coal*2
,You're a true friend! :D,,,,
,Drop by anytime; I'll be here keeping cool!,,,,
,"Oh, and if you stumble upon some boiled water, could you bring it to me?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,split_stone*5
,Thank you kindly! You're a lifesaver!,,,,
,,,,,
Penguin,"Hey there, friend! How's the ice skating going?",,,,
,Have you managed to find those items I asked for?,,,,
,"Greetings, traveler! How's the Antarctic treating you?",,,,
,Could you gather some coal for me? I need it for my igloo.,,,,wood*10
,Needed Items,coal*9,,,
,I'm in the mood for a snack. Can you fetch me some fish? Oh nevermind this world only has melons :p,,,,
,Needed Items,boiled_melon*3,split_stone*1,,syrup*5
,Thanks for your help!,,,,
,Feel free to waddle by anytime!,,,,
,"Oh, and if you find any boiled water, could you bring it to me?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,half_melted_ice*2
,Much appreciated! Thanks a bunch!,,,,
,,,,,
Polar Bear,"Hello there, traveler! How's the icy wilderness treating you?",,,,
,Have you managed to collect those items I mentioned earlier?,,,,
,"Greetings, wanderer! Seen any seals lately?",,,,
,Could you gather some sticks for me? I need them to build a new den.,,,,
,Needed Items,stick*9,,,rack*1
,I'm feeling a bit chilly. How about some heated coal?,,,,
,Needed Items,heated_coal*3,boiled_water*2,,magic_flower_wilted*3
,You're a true friend!,,,,
,Drop by anytime; I'll be here keeping warm!,,,,
,"Oh, and if you stumble upon some boiled water, could you bring it to me?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,heated_coal*2
,Thank you kindly! You're a lifesaver!,,,,
,,,,,
Whale,Hello there! I hope you're having a whale of a time!,,,,
,Did you manage to find those items I mentioned earlier?,,,,
,"Greetings, fellow traveler! How's the sea treating you?",,,,
,Could you help me gather some water? This ocean is feeling a bit dry,,,,
,Needed Items,water*9,,,painting*1
,"Its uh getting a little hot round here, must be global warming again!",,,,
,Needed Items,ice*5,,,heated_coal*2
,Thank you kindly!,,,,
,Swim by again sometime!,,,,
,"Oh, I almost forgot! Can you fetch me some boiled water?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,boiled_melon*2
,Splendid! Thanks for your help!,,,,
,,,,,
Panda,Hey there! How's the bamboo munching going?,,,,
,Have you managed to collect those items I mentioned earlier?,,,,
,"Greetings, traveler! How's the forest treating you?",,,,
,Could you gather some flowers for me? I need them to decorate my den.,,,,
,Needed Items,magic_flower*9,,,wood*10
,I'm craving something sweet. How about some syrup?,,,,
,Needed Items,syrup*3,boiled_melon*5,,frostbloom_extract*2
,You're a true friend!,,,,
,Drop by anytime; I'll be here enjoying the bamboo!,,,,
,"Oh, and if you stumble upon some boiled water, could you bring it to me?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,half_melted_ice*1
,Thank you kindly! You're a lifesaver!,,,,
,,,,,
Squirrel,Hey there! Got any nuts to spare?,,,,
,Have you managed to gather those items for me?,,,,
,"Greetings, wanderer! Seen any tasty acorns lately?",,,,
,Could you gather some wood for me? I need it for my nest.,,,,
,Needed Items,wood*9,,,wood*10
,I'm feeling a bit hungry. How about some scorched feathers? They have a lovely kick!,,,,
,Needed Items,scorched_feather*3,heated_coal*2,,heated_coal*2
,You're a true friend!,,,,
,Drop by anytime; I'll be here gathering nuts!,,,,
,"Oh, and if you stumble upon some boiled water, could you bring it to me?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,scorched_feather*1
,Excellent thank you so much!,,,,
,,,,,
Albino Squirrel,Hello there! How's the nut gathering going?,,,,
,Have you managed to find those items I mentioned earlier?,,,,
,"Greetings, traveler! How's the forest treating you?",,,,
,Could you gather some sticks for me? I need them for my nest.,,,,
,Needed Items,stick*9,,,wood*10
,I'm feeling a bit hungry. How about some wilted magic flowers?,,,,
,Needed Items,wilted_magic_flower*3,,,table*1
,You're a true friend!,,,,
,Drop by anytime; I'll be here gathering nuts!,,,,
,"Oh, and if you stumble upon some boiled water, could you bring it to me?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,heated_coal*2
,Thank you kindly! You're a lifesaver!,,,,
,,,,,
Mice,Hey there! Got any cheese us?,,,,
,Have ya managed to gather those items for us pal?,,,,
,"Greetings, pal! Seen any tasty crumbs lately?",,,,
,"Hey bud, gather some coals for us yeah? We mice need to keep warm!",,,,
,Needed Items,coal*9,,,wood*10
,It's a bit chilly lately pal! Get us some split stones would ya?,,,,
,Needed Items,split_stone*3,heated_coal*1,,boiled_melon*2
,You're a true friend pal!,,,,
,Drop by anytime; We'll be here nibbling on cheese!,,,,
,"Oh, and if you stumble upon some boiled water, could you bring it to us?",,,,
,Needed Items,boiled_water*3,magic_flower*1,,heated_coal*2
,Thanks! And keep us posted if you spot any cheese!,,,,
